Date,Price,Open,High,Low,Vol.,Change %,SentimentSum
2022-09-15,276.70,278.69,281.27,276.36,3.28M,-0.62%,0
2022-09-14,278.42,279.00,280.20,275.64,3.72M,0.05%,0
2022-09-13,278.29,283.99,285.14,277.50,4.59M,-3.54%,0
2022-09-12,288.51,286.70,289.24,286.03,3.41M,0.96%,0
2022-09-09,285.77,284.54,287.02,284.13,3.13M,0.86%,0
2022-09-08,283.34,278.58,283.40,277.29,3.54M,0.82%,0
2022-09-07,281.04,275.74,281.74,275.42,3.51M,1.61%,0
2022-09-06,276.59,278.01,279.49,275.36,4.36M,-0.39%,0
2022-09-02,277.67,284.84,285.42,276.36,3.80M,-1.69%,0.4767
2022-09-01,282.43,279.95,282.68,277.31,3.77M,0.58%,0
2022-08-31,280.80,287.25,288.01,280.44,5.01M,-1.62%,0
2022-08-30,285.42,288.72,289.32,284.77,3.23M,-0.71%,0
2022-08-29,287.45,288.40,289.83,285.75,3.10M,-0.87%,0
2022-08-26,289.96,299.41,299.63,289.65,5.28M,-2.74%,0
2022-08-25,298.13,293.71,298.48,292.83,3.47M,1.57%,0
2022-08-24,293.52,290.00,294.00,289.46,3.27M,1.34%,0
2022-08-23,289.65,288.85,291.64,288.15,2.60M,0.33%,0
2022-08-22,288.69,294.00,294.47,287.86,4.72M,-2.89%,0
2022-08-19,297.28,302.95,303.22,296.81,4.62M,-2.30%,0
2022-08-18,304.27,304.44,304.57,301.55,2.78M,0.00%,0
2022-08-17,304.26,305.22,306.89,302.74,2.96M,-0.78%,0
2022-08-16,306.65,304.99,308.15,303.76,3.34M,1.26%,0
2022-08-15,302.82,298.64,303.76,297.40,2.93M,0.42%,0.0
2022-08-12,301.55,297.90,301.69,297.00,3.23M,1.71%,0
2022-08-11,296.47,298.00,299.06,296.12,3.15M,0.46%,0
2022-08-10,295.11,296.48,296.93,294.10,3.71M,0.80%,0
2022-08-09,292.77,293.35,297.57,291.93,3.87M,0.15%,0
2022-08-08,292.34,294.87,299.33,292.27,3.97M,0.09%,0
2022-08-05,292.07,291.87,294.10,290.42,3.40M,-0.29%,0
2022-08-04,292.91,294.73,295.98,292.62,3.95M,-0.70%,0
2022-08-03,294.96,295.05,295.88,291.10,4.06M,0.95%,0
2022-08-02,292.17,294.87,295.53,291.92,3.17M,-1.25%,0
2022-08-01,295.86,299.70,299.70,294.83,4.20M,-1.58%,0
2022-07-29,300.60,297.42,302.40,295.43,6.98M,2.28%,0
2022-07-28,293.90,291.18,294.03,286.77,3.99M,1.24%,0
2022-07-27,290.30,287.67,291.56,285.70,3.62M,1.75%,0
2022-07-26,285.31,287.79,288.71,284.65,2.51M,-0.93%,0
2022-07-25,287.99,287.21,289.07,285.15,3.14M,0.72%,0
2022-07-22,285.93,288.10,289.40,283.61,2.88M,-0.32%,0
2022-07-21,286.85,287.00,287.24,282.09,3.70M,0.28%,0
2022-07-20,286.04,284.64,286.44,283.90,3.88M,0.88%,0.5423
2022-07-19,283.55,279.00,284.08,278.17,3.59M,2.64%,0
